adname,adress,divisions,lng,lat,bd09lng,bd09lat,wgs84lng,wgs84lat
金沙公园,丰庄路69号(近清峪路),嘉定区,121.3548136,31.24485348,121.3613508,31.25076624,121.3502116,31.24672544
水景广场,方泰镇(上海赛车场地铁站5号口旁),嘉定区,121.2216274,31.33385148,121.2281003,31.34000917,121.2171793,31.33581711
腊梅主题公园,外冈镇恒谐路999号,嘉定区,121.1743615,31.33581813,121.1808545,31.34190412,121.1698336,31.33770911
留云公园,南翔镇浩翔路与芳林路交叉口西20米(华润中央公园社区西侧20米),嘉定区,121.3044605,31.31599568,121.3108919,31.32224459,121.2999622,31.31793047
环城河市民休闲公园-五一广场,嘉行公路与金沙路交叉口西南100米,嘉定区,121.2485668,31.39508585,121.2551309,31.4007818,121.2441272,31.39704634
嘉定新城滑板公园,希望路与温泉路交叉口西北180米,嘉定区,121.2406577,31.33434024,121.2472207,31.34015106,121.2362224,31.33631865
北管村休闲公园,北陈路与思义路交叉口东120米,嘉定区,121.3180433,31.33878217,121.3244659,31.34514838,121.3135137,31.34068426
石冈门塘休闲公园,马陆镇,嘉定区,121.2621036,31.34615508,121.268716,31.3517984,121.2576633,31.34812794
昌辉广场,槎溪路与银翔路交叉口南40米,嘉定区,121.3165658,31.29104007,121.3229541,31.29739316,121.3120436,31.29296289
嘉天下休闲广场,南翔镇沪宜公路139弄3号(上海市嘉定震川培训中心),嘉定区,121.3131055,31.292561,121.3194985,31.29889653,121.3085909,31.2944896
山林绿洲口袋公园,叶城路与沪宜公路交叉口东北40米,嘉定区,121.2547965,31.37033875,121.2613965,31.37599083,121.2503578,31.37230613
五月花公园,保利五月花西区正门旁,嘉定区,121.253255,31.40839613,121.2598241,31.41404982,121.2488135,31.41035273
马陆镇双拥运动公园,马陆镇,嘉定区,121.2621156,31.34625404,121.2687281,31.35189739,121.2576753,31.34822686
上海市民体育公园,安亭镇安辰路,嘉定区,121.2328381,31.32971742,121.2393614,31.33566601,121.2283997,31.33169371
仓场健身公园,申裕路与申裕路399弄交叉口东北200米,嘉定区,121.279265,31.36295955,121.2858302,31.36876954,121.2748062,31.36491353
北水湾体育公园,树屏路,嘉定区,121.2381594,31.40454349,121.2446799,31.41038797,121.2337173,31.4064989
马陆公园,马陆镇育英街455号,嘉定区,121.2741512,31.32829924,121.2807287,31.33403291,121.2697016,31.3302701
远香湖党建主题公园,天祝路与裕民南路路口东侧,嘉定区,121.2608382,31.35105818,121.2674515,31.35669975,121.2563983,31.35302994
