FID,lng,lat
284,121.4505795,31.25513374
285,121.4507592,31.25463951
286,121.4489254,31.25614742
287,121.4493449,31.2558316
288,121.4498438,31.25567706
289,121.4503682,31.25563587
290,121.4508921,31.25559706
291,121.4514145,31.25553576
292,121.4519355,31.25546372
293,121.4508685,31.25885659
294,121.4505203,31.25925088
295,121.4502734,31.25971084
296,121.4502038,31.26022878
297,121.4509134,31.25408044
298,121.4506375,31.25332758
299,121.4502189,31.25300909
300,121.4552346,31.24904589
301,121.4552757,31.24852151
302,121.4553291,31.24799831
303,121.4531301,31.24954717
304,121.453654,31.24957981
305,121.4541799,31.24958769
306,121.4547055,31.24956712
307,121.4545479,31.25490823
308,121.4546726,31.25541843
309,121.4548243,31.25591625
310,121.4548271,31.25644223
311,121.45483,31.2569682
312,121.4548328,31.25749418
313,121.4548356,31.25802016
314,121.4548393,31.25854611
315,121.4542556,31.25287537
316,121.4543528,31.25236002
317,121.4593277,31.2494097
318,121.4588329,31.24958826
319,121.4583357,31.24975978
320,121.4578398,31.24993514
321,121.4573447,31.25011255
322,121.4568556,31.25030605
323,121.4563669,31.25050071
324,121.4558783,31.25069538
325,121.4554066,31.2509215
326,121.4551134,31.25161812
327,121.4548618,31.25149238
328,121.4551704,31.25115433
329,121.4546327,31.25238213
330,121.4545236,31.25289448
331,121.4544447,31.25341184
332,121.454442,31.25393104
333,121.4544462,31.25494009
334,121.4543534,31.25369198
335,121.4543768,31.25404866
336,121.4546877,31.25506891
337,121.4545636,31.25444495
338,121.4543827,31.25289569
339,121.4470375,31.25804502
340,121.4474536,31.25836671
341,121.4478698,31.2586884
342,121.4482847,31.25901156
343,121.4486692,31.25936995
344,121.4490795,31.25969231
345,121.4495349,31.25989611
346,121.449924,31.26025003
347,121.4587962,31.25422411
348,121.4582702,31.25422752
349,121.4577444,31.2542393
350,121.4572185,31.25425119
351,121.4566926,31.25426102
352,121.4561667,31.25427045
353,121.4556409,31.25428167
354,121.4551152,31.25430007
355,121.45459,31.25432697
356,121.4540659,31.25437159
357,121.4535424,31.25442249
358,121.4530189,31.25447339
359,121.4524948,31.25451746
360,121.4519694,31.25454204
361,121.4514438,31.2545604
362,121.4509183,31.25458169
363,121.4503927,31.25460275
364,121.449867,31.25461754
365,121.4493412,31.25463309
366,121.4488155,31.25465054
367,121.4482898,31.25466799
368,121.4477641,31.25468544
369,121.4472384,31.25469447
370,121.4467124,31.25469144
371,121.4582984,31.2487332
372,121.4584102,31.24924713
373,121.4585139,31.24976264
374,121.4586185,31.25027811
375,121.4587302,31.25079208
376,121.458833,31.25130786
377,121.4589313,31.25182457
378,121.4590234,31.2523424
379,121.4590948,31.25286327
380,121.4591486,31.25338644
381,121.4591904,31.25391076
382,121.4574909,31.24545006
383,121.457572,31.24493145
384,121.45772,31.2444271
385,121.4578857,31.24392792
386,121.4575083,31.24757251
387,121.4583222,31.24774779
388,121.4535951,31.24536118
389,121.4544584,31.24726644
390,121.4544505,31.24674052
391,121.4544427,31.24621459
392,121.454501,31.24569654
393,121.4530339,31.24246876
394,121.4532492,31.24198886
395,121.4552801,31.24372005
396,121.4544769,31.24452838
397,121.4548626,31.24417158
398,121.4533887,31.24329638
399,121.453848,31.24355261
400,121.454313,31.24379843
401,121.4547785,31.24404343
402,121.4546054,31.24451223
403,121.4542092,31.24485818
404,121.4561997,31.24511748
405,121.4565861,31.24518576
406,121.4501542,31.24499318
407,121.4505582,31.24532091
408,121.4515443,31.24250526
409,121.4518948,31.24211456
410,121.4523778,31.24194032
411,121.4528986,31.2420139
412,121.4560497,31.24365993
413,121.4565108,31.24391298
414,121.4569719,31.24416602
415,121.4574438,31.24439672
416,121.4586613,31.25265266
417,121.4581737,31.25284934
418,121.4576843,31.25304045
419,121.4571854,31.25320706
420,121.4566723,31.25331711
421,121.4561483,31.2533583
422,121.4556225,31.25337419
423,121.4550967,31.25338628
424,121.4545708,31.2533933
425,121.4518658,31.24572607
426,121.4522322,31.24534883
427,121.4525978,31.24497062
428,121.4529633,31.24459242
429,121.4507064,31.25509588
430,121.450532,31.25559208
431,121.453274,31.24626255
432,121.4537996,31.246259
433,121.4543231,31.24620882
434,121.4548474,31.24616867
435,121.4553719,31.24613276
436,121.4558978,31.24614222
437,121.4546306,31.24516823
438,121.4550693,31.2454578
439,121.4555403,31.24569136
440,121.4560191,31.245909
441,121.4528732,31.24410264
442,121.4533401,31.24434476
443,121.453799,31.24460146
444,121.4544563,31.2439689
445,121.4539913,31.24372305
446,121.453527,31.24347604
447,121.4530575,31.24323922
448,121.4554063,31.24437993
449,121.4558656,31.24463573
450,121.4563548,31.24482789
451,121.4568645,31.24495541
452,121.4573863,31.24499874
453,121.4514877,31.25347468
454,121.451607,31.25313318
455,121.4520993,31.25294807
456,121.4525917,31.25276297
457,121.4528224,31.2531374
458,121.4527871,31.25350152
459,121.452906,31.25388644
460,121.4526129,31.25411592
461,121.4522075,31.25425932
462,121.4516818,31.25427792
463,121.4514912,31.2540117
464,121.45092,31.25346807
465,121.4507762,31.25402871
