id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
BV10031527,,左家宅(公交站),交通设施服务;公交车站;公交车站相关,113路;138路;26路;320路;328路;44路;572路;72路;827路,,121.425507,31.198229,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10031526,,广元西路虹桥路(公交站),交通设施服务;公交车站;公交车站相关,26路,,121.431172,31.194089,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10031525,,陕西南路建国西路(公交站),交通设施服务;公交车站;公交车站相关,146路外圈;17路;301路;41路;786路;96路,,121.46213,31.205537,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10031514,,淮海中路陕西南路(公交站),交通设施服务;公交车站;公交车站相关,167路;26路;320路;42路;911路;911路区间;926路,,121.457641,31.216233,310000,上海市,021,上海市,310104,徐汇区,淮海路
BV10031513,,衡山路复兴中路(公交站),交通设施服务;公交车站;公交车站相关,15路;167路;315路;824路;830路;927路,,121.449788,31.20909,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10031512,,衡山路高安路(公交站),交通设施服务;公交车站;公交车站相关,15路;167路;315路;320路;824路;830路;93路,,121.445189,31.20281,310000,上海市,021,上海市,310104,徐汇区,岳阳
BV10031494,,陕西南路淮海中路(公交站),交通设施服务;公交车站;公交车站相关,104路;146路外圈;24路;301路;304路;41路;955路,,121.458801,31.217309,310000,上海市,021,上海市,310104,徐汇区,淮海路
BV10031328,,龙州路上中西路(公交站),交通设施服务;公交车站;公交车站相关,180路;865路,,121.424521,31.135287,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10031327,,嘉川路凌云路(公交站),交通设施服务;公交车站;公交车站相关,131路;180路;192路;50路;50路区间;720路;731路;865路;957路,,121.420561,31.135892,310000,上海市,021,上海市,310104,徐汇区,梅陇
BV10031224,,小木桥路中山南二路(公交站),交通设施服务;公交车站;公交车站相关,104路;45路;隧道二线,,121.461339,31.191721,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10031223,,南丹东路漕溪北路(公交站),交通设施服务;公交车站;公交车站相关,342路;56路;隧道二线,,121.43885,31.189219,310000,上海市,021,上海市,310104,徐汇区,
BV10031222,,大木桥路斜土路(公交站),交通设施服务;公交车站;公交车站相关,104路;327路;45路;572路;932路;隧道二线,,121.462051,31.197714,310000,上海市,021,上海市,310104,徐汇区,枫林路
BV10030875,,桂平路江安路(公交站),交通设施服务;公交车站;公交车站相关,1252路;257路;803路;804路;93路;946路,,121.412406,31.148474,310000,上海市,021,上海市,310104,徐汇区,康健
BV10030823,,虹漕路田林路(公交站),交通设施服务;公交车站;公交车站相关,909路;93路,,121.41095,31.168282,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10030822,,虹漕路漕宝路(公交站),交通设施服务;公交车站;公交车站相关,909路;93路,,121.41191,31.165013,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10030820,,零陵路双峰北路(公交站),交通设施服务;公交车站;公交车站相关,178路大站车;218路;89路;徐闵夜宵专线,,121.445613,31.187207,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10030818,,宜山路桂平路(公交站),交通设施服务;公交车站;公交车站相关,131路;804路;89路;927路;上嘉线,,121.402452,31.172394,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV10030814,,南丹东路天钥桥路(公交站),交通设施服务;公交车站;公交车站相关,218路;89路;932路;隧道二线;隧道夜宵一线,,121.443855,31.19046,310000,上海市,021,上海市,310104,徐汇区,
BV10030744,,宜山北路虹桥路(公交站),交通设施服务;公交车站;公交车站相关,42路;855路,,121.432217,31.193037,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10030607,,凯旋路宜山路(公交站),交通设施服务;公交车站;公交车站相关,76路,,121.42663,31.187817,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10030606,,番禺路南丹路(公交站),交通设施服务;公交车站;公交车站相关,76路,,121.426324,31.192079,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10030605,,番禺路淮海西路(公交站),交通设施服务;公交车站;公交车站相关,76路;827路,,121.428872,31.198325,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10030565,,虹梅路顾戴路(公交站),交通设施服务;公交车站;公交车站相关,757路;804路;865路,,121.408925,31.147895,310000,上海市,021,上海市,310104,徐汇区,
BV10030561,,虹梅路宜山路(公交站),交通设施服务;公交车站;公交车站相关,757路;804路;809路;865路,,121.398168,31.169391,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV10030450,,古美路田州路(公交站),交通设施服务;公交车站;公交车站相关,700路,,121.39769,31.162851,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV10030449,,古美路田林路(公交站),交通设施服务;公交车站;公交车站相关,(停运)漕河泾开发区班车B线;131路;700路;89路;927路,,121.39566,31.166545,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV10030448,,古美路宜山路(公交站),交通设施服务;公交车站;公交车站相关,131路;700路;89路,,121.394782,31.168648,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BV10030447,,虹许路宜山路(公交站),交通设施服务;公交车站;公交车站相关,700路;757路;804路;809路;865路,,121.3977,31.171936,310000,上海市,021,上海市,310104,徐汇区,虹梅路
BY0001JTXV,,停车场,交通设施服务;停车场;公共停车场,漕溪路与内环漕溪北路立交桥交叉口东南100米,,121.436027,31.177489,310000,上海市,021,上海市,310104,徐汇区,龙华
BY0001JTXN,,停车场,交通设施服务;停车场;公共停车场,龙华西路与龙吴路交叉口西北120米,,121.443619,31.174726,310000,上海市,021,上海市,310104,徐汇区,龙华
BY0001JTXJ,,宛平剧苑停车场,交通设施服务;停车场;公共停车场,宛平南路与中山南二路交叉口东南80米,,121.451498,31.184661,310000,上海市,021,上海市,310104,徐汇区,龙华
BY0001JTRE,,上海旅游集散中心总站停车场,交通设施服务;停车场;公共停车场,凯旋南路与漕溪路交叉口东140米,,121.437414,31.178284,310000,上海市,021,上海市,310104,徐汇区,龙华
B0KGUSF67X,,博翠中心停车场,交通设施服务;停车场;停车场相关,百色路88号,,121.447917,31.144383,310000,上海市,021,上海市,310104,徐汇区,
B0KGUMF509,,博翠中心停车场,交通设施服务;停车场;公共停车场,上海植物园周边50米,,121.44997,31.145787,310000,上海市,021,上海市,310104,徐汇区,
B0KGOZJYNE,,HAPPY PARK,交通设施服务;停车场;停车场相关,钦州南路与柳州路交叉口西南40米,,121.425902,31.159913,310000,上海市,021,上海市,310104,徐汇区,康健
B0KGNNV8H1,,上海民航职业技术学院停车场,交通设施服务;停车场;公共停车场,龙恒路与丰谷路交叉口东180米,,121.455562,31.170538,310000,上海市,021,上海市,310104,徐汇区,龙华
B0KGF4V9E9,,家乐福车库,交通设施服务;停车场;公共停车场,斜土路与东安路交叉口西180米,,121.45062,31.193775,310000,上海市,021,上海市,310104,徐汇区,枫林路
B0KG7C0E6Y,,汉庭酒店上海桂林路地铁站店地面停车点,交通设施服务;停车场;公共停车场,桂林路656号汉庭酒店(上海桂林路地铁站店),,121.413992,31.180839,310000,上海市,021,上海市,310104,徐汇区,虹梅路
B0KG6USK24,,中环绿地1区停车场,交通设施服务;停车场;公共停车场,桂江路888号,,121.404292,31.161456,310000,上海市,021,上海市,310104,徐汇区,虹梅路
B0KG3ZHUSR,,上海市第六人民医院地面停车场,交通设施服务;停车场;公共停车场,柳州路与钦州北路交叉口南200米,,121.420653,31.178537,310000,上海市,021,上海市,310104,徐汇区,田林
B0KDDU5W1S,,地面停车场,交通设施服务;停车场;公共停车场,龙水路与龙吴路交叉口北120米,,121.447398,31.163102,310000,上海市,021,上海市,310104,徐汇区,龙华
B0KBNSFSIF,,上海市徐汇区牙病防治所停车场,交通设施服务;停车场;公共停车场,枫林路500号,,121.459282,31.189986,310000,上海市,021,上海市,310104,徐汇区,枫林路
B0KB1C5C3A,,baseLITE佰舍服务式公寓上海徐家汇龙华西路店地面停车点,交通设施服务;停车场;公共停车场,龙华西路315弄58号baseLITE佰舍服务式公寓,,121.443158,31.174372,310000,上海市,021,上海市,310104,徐汇区,龙华
B0KATROIEG,,斜土路1995号停车场,交通设施服务;停车场;公共停车场,斜土路1995号,,121.450611,31.19379,310000,上海市,021,上海市,310104,徐汇区,枫林路
B0KARUGD76,,隐庐茶舍山水月停车场,交通设施服务;停车场;公共停车场,钦州南路361号,,121.425771,31.159759,310000,上海市,021,上海市,310104,徐汇区,康健
B0K6XM2D4K,,地面停车场,交通设施服务;停车场;公共停车场,三汇路与凯旋路交叉口西南20米,,121.432976,31.180114,310000,上海市,021,上海市,310104,徐汇区,龙华
B0K6TAM43D,,灿星大厦地下停车场,交通设施服务;停车场;公共停车场,龙启路158号灿星大厦(云锦路地铁站5号口步行320米),,121.460386,31.164663,310000,上海市,021,上海市,310104,徐汇区,龙华
B0K6JZQ2DS,,瑞宁路停车场,交通设施服务;停车场;停车场相关,瑞宁路与龙华中路交叉口南220米,,121.470635,31.189282,310000,上海市,021,上海市,310104,徐汇区,
B0K62A8MJI,,上海宏圣中山西路停车场,交通设施服务;停车场;公共停车场,三汇路38号,,121.433572,31.180194,310000,上海市,021,上海市,310104,徐汇区,龙华
B0K617TFWN,,徐家汇体育公园P1停车场,交通设施服务;停车场;公共停车场,零陵路800号徐家汇体育公园,,121.438522,31.179212,310000,上海市,021,上海市,310104,徐汇区,龙华
B0JURS8MBV,,鑫耀·光环Live地下停车场,交通设施服务;停车场;公共停车场,鑫耀·光环Live,,121.413635,31.169075,310000,上海市,021,上海市,310104,徐汇区,田林
B0JUFZT6O7,,星瀚广场地面停车场,交通设施服务;停车场;公共停车场,龙文路317-318号LUMINA2星瀚广场,,121.459506,31.159688,310000,上海市,021,上海市,310104,徐汇区,龙华
B0JRG70KL1,,桂林西街-道路停车位,交通设施服务;停车场;路边停车场,桂林西街与桂林路交叉口西160米,,121.418863,31.156265,310000,上海市,021,上海市,310104,徐汇区,康健
B0JRCZBLMD,,地面停车场,交通设施服务;停车场;公共停车场,罗秀路与天等路交叉口东280米,,121.432817,31.131169,310000,上海市,021,上海市,310104,徐汇区,梅陇
B0JKHZ9OY4,,地面停车场,交通设施服务;停车场;公共停车场,华发路与长华路交叉口东280米,,121.448249,31.126964,310000,上海市,021,上海市,310104,徐汇区,华泾
B0JKHA9GXP,,中环绿地停车场,交通设施服务;停车场;停车场相关,桂江路788号,,121.405956,31.157435,310000,上海市,021,上海市,310104,徐汇区,康健
B0JKH51NJI,,地面停车场,交通设施服务;停车场;公共停车场,东安路与龙华路交叉口西北40米,,121.456513,31.186227,310000,上海市,021,上海市,310104,徐汇区,龙华
B0JK9HF8U3,,宜山路自如寓停车场,交通设施服务;停车场;公共停车场,中山西路1788弄58号(宜山路地铁站3号口步行410米),,121.423313,31.183923,310000,上海市,021,上海市,310104,徐汇区,田林
B0JK7CR1VX,,东泉路-道路停车位,交通设施服务;停车场;路边停车场,东泉路与罗城路交叉口北180米,,121.445339,31.153822,310000,上海市,021,上海市,310104,徐汇区,龙华
B0JK6AUCD1,,嘉善路-道路停车位,交通设施服务;停车场;路边停车场,陕西南路与绍兴路交叉口西南180米,,121.460065,31.207754,310000,上海市,021,上海市,310104,徐汇区,岳阳
B0JGMA6OBG,,地面停车场,交通设施服务;停车场;公共停车场,龙漕路与田东路交叉口东南200米,,121.441834,31.167983,310000,上海市,021,上海市,310104,徐汇区,龙华
