name,address,check,city,type,outputaddress,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,subtitle
壹泰东南亚主题餐厅,上海市马当路388号复兴广场C110-C111(星巴克斜对面),总签到396人,上海市,东南亚餐厅,上海市黄浦区马当路388号壹泰东南亚主题餐厅(新世纪大厦店),121.488963,31.212517,121.4844937,31.21451126,总签到396人  上海市  东南亚餐厅
西郊宾馆会议中心百花厅,上海市上海虹桥路1961号,总签到1518人,上海市,旅馆招待所,上海市长宁区虹桥路百花村,121.423504,31.204716,121.418867,31.2065733,总签到1518人  上海市  旅馆招待所
Salon de Thé de Joël Robuchon,上海市黄浦区中山东一路18号,总签到374人,上海市,甜品店,上海市黄浦区中山东一路18号,121.489707,31.238436,121.4852381,31.24042037,总签到374人  上海市  甜品店
上海市徐汇区牙病防治所,上海市枫林路500号(龙华中路地铁站2号口步行490米),总签到1747人,上海市,医院,上海市枫林路500号龙华中路上海市徐汇区牙病防治所,121.459478,31.189324,121.4549151,31.19124971,总签到1747人  上海市  医院
seulSEUL(兴业太古汇店),上海市静安区南京西路789号兴业太古汇3层N301号,总签到826人,上海市,法式餐厅,上海市静安区南京西路兴业太古汇,121.463104,31.228926,121.4585481,31.2308414,总签到826人  上海市  法式餐厅
复旦大学邯郸校区新闻学院,上海市国定路400号,月签到36人,上海市,高校,上海市杨浦区国定路400号复旦大学邯郸校区新闻学院,121.509433,31.299712,121.5050299,31.3017294,月签到36人  上海市  高校
上海国际贵都大饭店,上海市延安西路65号,总签到3199人,上海市,四星级宾馆,上海市静安区延安西路上海国际贵都大饭店,121.444876,31.220012,121.4402737,31.22189205,总签到3199人  上海市  四星级宾馆
泰晤士小镇小区,上海市松江区三新北路900弄230号,月签到27人,上海市,住宅,上海市松江区三新北路900号泰晤士小镇,121.19811,31.033358,121.1936538,31.03543951,月签到27人  上海市  住宅
新邻生活站商场,上海市陆家浜路1100号(陆家浜路地铁站6号口步行60米),总签到491人,上海市,商场,上海市黄浦区陆家浜路1100号陆家浜路地铁站6号口新邻生活站商场,121.48704,31.211519,121.482564,31.21350807,总签到491人  上海市  商场
上海市第一食品商店(南东店),上海市南京东路720号(近贵州路),总签到3803人,上海市,购物,上海市黄浦区南京路步行街720号贵州路上海市第一食品商店(南东店),121.476689,31.235529,121.4721754,31.23747714,总签到3803人  上海市  购物
