FID,name,province,city,area,address,uid,detail_url,tag,wgs84_lng,wgs84_lat,行业大,行业子,Get_time,ha,value,visit_num
119,蝴蝶湾,上海市,上海市,静安区,上海市静安区康定东路50号,a3e8341c6a45a5964afd3f07,http://api.map.baidu.com/place/detail?uid=a3e8341c6a45a5964afd3f07&output=html&source=placeapi_v2,旅游景点;公园,121.4518222,31.23963022,旅游景点,公园,2021/10/25 0:53,1.66531,1,4390
120,塘桥公园,上海市,上海市,浦东新区,上海市浦东新区东方路1260号(近峨山路),a3f21eeeec764d452eb17eb0,http://api.map.baidu.com/place/detail?uid=a3f21eeeec764d452eb17eb0&output=html&source=placeapi_v2,旅游景点;公园,121.5239063,31.21905229,旅游景点,公园,2021/10/25 0:53,5.64061,1,6513
121,BBC体育公园,上海市,上海市,宝山区,上海市宝山区杨行镇泰和路2008号,a4bcd2de9e1b703cf92d614f,http://api.map.baidu.com/place/detail?uid=a4bcd2de9e1b703cf92d614f&output=html&source=placeapi_v2,旅游景点;公园,121.4352483,31.35837021,旅游景点,公园,2021/10/25 0:53,3.3784,1,0
122,复兴岛公园,上海市,上海市,杨浦区,上海市杨浦区共青路386号,a74481d65db77b47f503b826,http://api.map.baidu.com/place/detail?uid=a74481d65db77b47f503b826&output=html&source=placeapi_v2,旅游景点;公园,121.5581331,31.28858225,旅游景点,公园,2021/10/25 0:53,4.31021,1,1692
123,张江主题公园,上海市,上海市,浦东新区,上海市浦东新区川北公路1539号,b0205f2424634f28bfa8225a,http://api.map.baidu.com/place/detail?uid=b0205f2424634f28bfa8225a&output=html&source=placeapi_v2,旅游景点;公园,121.6058121,31.20677827,旅游景点,公园,2021/10/25 0:53,3.88662,1,2731
124,同济大学附属上海市肺科医院-叶家花园,上海市,上海市,杨浦区,上海市杨浦区政民路507号同济大学附属上海市肺科医院叶家花园,b0c1cb52074713283686f474,http://api.map.baidu.com/place/detail?uid=b0c1cb52074713283686f474&output=html&source=placeapi_v2,旅游景点;公园,121.4978178,31.30638259,旅游景点,公园,2021/10/25 0:53,3.27762,1,7204
125,番禺绿地,上海市,上海市,徐汇区,虹桥路637号,b0d056f26251f27fcac3dbd9,http://api.map.baidu.com/place/detail?uid=b0d056f26251f27fcac3dbd9&output=html&source=placeapi_v2,旅游景点;公园,121.4220982,31.19775697,旅游景点,公园,2021/10/25 0:53,3.99318,1,4676
126,老鹰公园,上海市,上海市,徐汇区,上海市徐汇区田林三中对面(近田林东路),b3ce418deeedec8d085cb3b1,http://api.map.baidu.com/place/detail?uid=b3ce418deeedec8d085cb3b1&output=html&source=placeapi_v2,旅游景点;公园,121.4258066,31.17556861,旅游景点,公园,2021/10/25 0:53,1.29473,1,3134
127,惠民公园,上海市,上海市,杨浦区,上海市杨浦区惠民路724号,b533ea4a3f76be404f6d4621,http://api.map.baidu.com/place/detail?uid=b533ea4a3f76be404f6d4621&output=html&source=placeapi_v2,旅游景点;公园,121.5177275,31.26062488,旅游景点,公园,2021/10/25 0:53,0.58847,1,1338
128,桃浦公园,上海市,上海市,普陀区,上海市普陀区桃浦西路1018号,b7021bf82efff4fbf4e73bca,http://api.map.baidu.com/place/detail?uid=b7021bf82efff4fbf4e73bca&output=html&source=placeapi_v2,旅游景点;公园,121.3874241,31.2824739,旅游景点,公园,2021/10/25 0:53,1.58268,1,2113
