名称,地址,区划,lng,lat
徐家汇公园,肇嘉浜路986号(徐家汇地铁站14号口步行250米),徐汇区,121.4378554,31.19928759
中山公园,长宁路780号,长宁区,121.414402,31.22346245
世纪公园管理楼,陆家嘴金融贸易区锦绣路1001号世纪公园(东北角),浦东新区,121.5546811,31.22332456
高东公园,光灿路118号,浦东新区,121.6208717,31.32953677
华夏公园,华夏东路285号(近外环),浦东新区,121.6446154,31.19489608
口袋公园,江浦路与龙江路交叉口(丹阳路地铁站4号口步行250米),杨浦区,121.5248445,31.2584785
长岛路健康理念公园,长岛路521号长岛路休闲广场,浦东新区,121.575505,31.26505588
世纪公园-观星广场,陆家嘴金融贸易区锦绣路1001号世纪公园内(东侧),浦东新区,121.5557429,31.21666449
后滩公园,世博文化公园北侧,浦东新区,121.4682359,31.18549332
九子公园,成都北路1018号,黄浦区,121.4594889,31.24243142
商船会馆公园,会馆街38号,黄浦区,121.4999871,31.21498229
港城公园,高桥镇欧高路509号,浦东新区,121.576211,31.35854172
黄兴全民体育公园-仲益体育公园,五角场街道双阳北路363号黄兴全民体育公园(东北角),杨浦区,121.5244528,31.29978924
大宁公园罗马广场,广中西路288号,静安区,121.4360311,31.2758395
广兰公园,张江镇广兰路965号(近紫薇路),浦东新区,121.6155595,31.21087652
培花公园,芳草路206-208号(芳华路地铁站2号口步行480米),浦东新区,121.5502485,31.19563403
前滩休闲公园,前滩大道北侧滨江,浦东新区,121.4616551,31.15282586
四平科技公园-中心广场,内环高架路四平科技公园(国权路地铁站3号口步行380米),杨浦区,121.5028602,31.28914399
彭浦四季公园,临汾路1568号,静安区,121.4311173,31.31593175
丽园公园,丽园路565号,黄浦区,121.4743219,31.20928939
森兰绿地,高行镇启帆路628号,浦东新区,121.5949476,31.30896302
三泉公园,保德路1200号(共和新路口),静安区,121.4424463,31.31733953
延中广场公园春之园,巨鹿路与瑞金一路交叉口东北角,黄浦区,121.4605837,31.22514311
静安公园-静安寺广场,南京西路1661号(静安寺地铁站15号口步行210米),静安区,121.4413168,31.22433784
莫比乌斯公园,振桥路与申轮路交叉口西南120米,浦东新区,121.6266035,31.28952542
汤巷体育公园,康人路570号,浦东新区,121.599122,31.14889248
来福公园,北外滩来福士4层空间(提篮桥地铁站3号口旁),虹口区,121.5034161,31.25521202
唐镇公园,唐丰路与银樽路交叉路口西侧(张江国际豪庭西侧约50米),浦东新区,121.6412656,31.2125191
天山公园,延安西路1731号(近凯旋路),长宁区,121.4112094,31.21200874
曹杨公园,枫桥路50号(近梅岭北路),普陀区,121.404249,31.2418577
G地公园,源深体育中心张扬路1458号,浦东新区,121.5304934,31.23435893
半马苏河公园,光复西路6号,普陀区,121.3906147,31.22152427
合庆郊野公园,浦川路88号,浦东新区,121.718022,31.25721249
前滩体育公园,前滩大道735号,浦东新区,121.4603365,31.14851181
甘泉公园,西乡路100号,普陀区,121.4235324,31.26911663
彭浦公园,场中路2150号(近共和新路),静安区,121.442794,31.30645136
桂林公园,漕宝路188号(桂林公园地铁站5号口步行100米),徐汇区,121.4132899,31.16719243
静安中环公园,共和新路3050号(汶水路地铁站4号口旁),静安区,121.4453972,31.29474314
临沂公园,东方路3683号(近浦东南路),浦东新区,121.5024581,31.19018976
