adname,adress,divisions,lng,lat
望春园,菜场路165-167号,奉贤区,121.4509539,30.90395546
美乐尔主题公园,南桥镇沪杭公路228号连城商业广场2号楼三楼,奉贤区,121.4264257,30.99122837
兰博广场,兰博路奉德苑东南侧约80米,奉贤区,121.6363307,30.90688962
文化广场(南桥路),解放西路000号,奉贤区,121.4521732,30.91572126
高桥村法治文化广场,南奉公路444号附近,奉贤区,121.6246077,30.9168879
灵01-灵芝体验基地,灵芝村1002号,奉贤区,121.417455,30.94578063
李窑村广场,兴宝食品店西北边,奉贤区,121.5834586,30.9216657
奉贤区统计法治主题公园,潘垫村修身园,奉贤区,121.3896978,30.87837507
文化广场,海湾路与人民塘路交叉口东南380米,奉贤区,121.5124528,30.82714478
奉城村文化广场,奉粮路与万佛阁交叉口西140米,奉贤区,121.6407925,30.92018969
天鹏文化广场,鹏程东街四团社区文化活动中心,奉贤区,121.7239764,30.93970885
萧塘公园,肖南路与南虹路交叉口西南160米,奉贤区,121.4318271,30.9625299
点睛广场,航南公路湖心岛公园,奉贤区,121.4970282,30.93350937
集合广场,南桥新城航南公路上海之鱼雕塑艺术公园,奉贤区,121.4983421,30.93146951
泡泡广场,秀竹路泡泡公园,奉贤区,121.49968,30.93037816
上海之鱼湖心岛公园,金海公路与航南公路交叉口,奉贤区,121.4963126,30.93395096
星火公园,海湾镇莲塘路明城路,奉贤区,121.5596266,30.85399196
邬桥健身公园,安邬路与北环路交叉口西南120米,奉贤区,121.3919446,30.96441663
洪庙文化广场,川南奉公路与水闸路交叉口东60米,奉贤区,121.677708,30.92777404
平安社区文化广场,平安镇,奉贤区,121.7284484,30.89933742
岳和文体广场,泰青公路与团青公路交叉口南100米,奉贤区,121.5656638,30.93295
志愿者广场,五四公路1130附近,奉贤区,121.7304902,30.86815536
桐叶广场,秀竹路泡泡公园(金海湖地铁站2号口步行490米),奉贤区,121.4912499,30.92868091
五四文化广场,五四公路,奉贤区,121.7301513,30.86823552
