name,adress,divisions,lng,lat
桃浦公园,桃浦西路1018号(古浪路地铁站4号口步行210米),普陀区,121.38740073028086,31.28248644101343
环东公园,张江镇孙新路(环东菜市场南侧),浦东新区,121.65055157579708,31.18539037352235
海棠公园,武宁路2650号,普陀区,121.38553665950587,31.249275619484475
梦公园,桂林路907号(吴中路地铁站2号口步行70米),徐汇区,121.41337245047812,31.1845036710804
月浦公园,月浦镇龙镇路6号,宝山区,121.42405413010512,31.418282779415318
外高桥自贸广场公园,富特西一路至富特北路的马吉路段南侧,浦东新区,121.5853955600333,31.350320636574843
桃溪公园,兰溪路近铜川路,普陀区,121.39656472196592,31.253520565820345
大宁郁金香公园拳操广场,宜川路大宁郁金香公园,静安区,121.43401311969804,31.27582021090928
长宁虹桥体育公园,绥宁路820号,长宁区,121.34140000207488,31.22317095768155
祥和公园,真光路1121甲,普陀区,121.37509788436468,31.24407549726594
祁连公园,塘祁路1356号,宝山区,121.37360410051522,31.32923112736102
莘庄公园,莘浜路421号,闵行区,121.36801471978312,31.10393011744599
盘古公园,盘古路与铁峰路交叉口西北角,宝山区,121.44773388984568,31.40007701890817
吴淞公园,泰和路5号(近吴淞码头),宝山区,121.495787103564,31.37893278396196
前滩休闲公园-媒体广场,泳耀路与耀体路交叉口西北前滩友城公园内(北侧),浦东新区,121.46834626459416,31.162086568320227
虹桥河滨公园,长宁路2080号(锦屏路口),长宁区,121.39601955349984,31.22142727809144
新泾公园,天山西路455号(近淞虹路),长宁区,121.35746712373296,31.21894147796202
普陀区体育公园,桃浦镇,普陀区,121.33823131398236,31.28656076749753
华漕公园,华美路93号,闵行区,121.328545505009,31.221657614346043
古美公园,平吉路799号(顾戴路地铁站4号口步行270米),闵行区,121.38856026697869,31.143797110882893
南翔水生态公园,南翔镇顺丰路168号,嘉定区,121.32981506741508,31.3322119681433
黎安公园,秀文路118号,闵行区,121.37546327837958,31.13166120407314
枣阳公园,枣阳路226号,普陀区,121.39919924768073,31.236797113296856
海徐路公园,航津路,浦东新区,121.60908613616172,31.339836436341105
尊木公园,沪太路2695号尊木汇国际广场内,宝山区,121.406566726573,31.312901788074598
有氧公园,零陵路与火炬台路交叉口东80米,徐汇区,121.4361902479238,31.185155745319577
北蔡消防主题公园-联勤广场,北蔡镇联勤村,浦东新区,121.54684938550596,31.170328231445048
春申公园,虹梅南路1528弄68号,闵行区,121.42414718227172,31.12053041145351
共享公园,长岛路与菏泽路交叉口西160米,浦东新区,121.59032903940428,31.265426663451937
力波公园,虹梅南路益梅路转角,闵行区,121.41107093329585,31.13514587212213
中山公园-米兰广场,长宁路820号米兰广场(中山公园地铁站4号口旁),长宁区,121.4153400049976,31.221446123588876
梅陇生态公园,莘朱路888号,闵行区,121.39935253957604,31.11873986643736
江镇市民广场公园,西临川南奉公路、南临晨阳路、北临晚霞路,浦东新区,121.74257408145576,31.17883039102953
金沙公园,丰庄路69号(近清峪路),嘉定区,121.35481357306335,31.24485348213248
维也纳金山公园,平度路258号维也纳金山公园,浦东新区,121.5878476179901,31.257550615090096
栅桥公园,曹安公路新郁路755号,嘉定区,121.35383555531462,31.254087875220144
霍山公园-入口广场,霍山路118号霍山公园(近舟山路),虹口区,121.50660640429636,31.25574823456805
药草园,延中广场公园春之园内(东侧),黄浦区,121.46263588235642,31.225246274930264
广场公园(音乐广场地块),延安东路523号,黄浦区,121.47330183537092,31.2289602059483
高兴公园,大连西路246号,虹口区,121.48513848004494,31.27866538766248
桂江公园,韵达快运(宜山路服务站),徐汇区,121.39983985640026,31.1617499480419
精武公园-欧式喷泉广场,中山北一路与逸仙高架路入口交叉口东南100米,虹口区,121.48119265869413,31.28968227489026
纪王公园,纪高路598-600号,闵行区,121.2644735195867,31.240118047402778
广场公园黄浦段,延安东路与延安东路立交桥交叉口北100米,黄浦区,121.4634141663396,31.226533676240983
哈密公园,新渔路与蒲淞南路交叉口南120米,长宁区,121.3693722187273,31.215429647426728
吴兴公园,衡山路吴兴路路口(衡山路地铁站1号口步行250米),徐汇区,121.43991441368004,31.20421785926588
建民绿地公园-入口广场,交通路与宜川路交叉口西240米,普陀区,121.43379331130096,31.257280822454558
四平科技公园-膜结构广场,四平路1777号(近中山北二路),杨浦区,121.5013246559346,31.289479276552008
天原公园,水城路735号,长宁区,121.38626025239572,31.214746221086333
阳光公园,耀东路爱法花园-西区,浦东新区,121.65200560818042,31.272688140741398
嘉洲公园,江桥镇陇南路东边巷,嘉定区,121.3366679163903,31.27285135729741
浦东牡丹园,高行镇兰谷路500弄,浦东新区,121.590763296076,31.32455403182511
岭南公园-中轴广场,汾西路600号,静安区,121.45177472284875,31.31608849872177
公园南入口广场,高斯路635号张江主题公园(东南角),浦东新区,121.60675336119964,31.20593038708699
生态公园,大冶路与浏翔路路口,嘉定区,121.29928072901382,31.3806896053926
广场公园-长桥碧水,延安东路延中广场公园(东北角),黄浦区,121.4682975301938,31.22725024632113
广场公园(音乐广场地块)-停车场,金陵中路凯迪拉克上海音乐厅(大世界地铁站3号口步行140米),黄浦区,121.47381760085122,31.228526852409857
堡镇市民公园,堡镇石岛路280号,崇明区,121.61703950100843,31.531486835140235
陇南公园,陇南路匡巷路路口西北侧,嘉定区,121.31773756530056,31.27475756905212
岭南公园-圆舞小广场,岭南公园(汾西路北),静安区,121.45202643738509,31.31566922425674
中山公园横丁,长宁路969号兆丰广场地下一层,长宁区,121.4145303899822,31.2198632480295
休闲公园,澄江路与景洪路交叉口东南280米,闵行区,121.44309810906432,31.08230648750341
花溪公园,花园路1附近,昆山市,121.0881562807252,31.29757123358388
徐家汇公园法治文化广场,徐家汇公园东北角,徐汇区,121.43845153187507,31.201153721145023
中央公园,花桥镇商祥路708号光明捷座2栋1号,昆山市,121.11160283852206,31.29389980912938
环城河市民休闲公园-五一广场,嘉行公路与金沙路交叉口西南100米,嘉定区,121.24856684740963,31.395085850074192
